customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage,Pension,Savings
53400,60,34,60,0,0,0,0,47,51933,2,13,24,4,0,0,0,23,29,0,1,1,1
53411,52,25,52,1,0,0,0,62,51879,3,36,48,1,0,0,0,7,29,0,1,1,1
53415,50,23,50,0,0,0,0,21,51902,1,11,24,8,2,0,0,27,50,0,1,1,1
53416,44,15,44,1,0,0,0,58,51889,2,22,24,2,0,6,3,9,32,12.049,0,0,0
53417,53,25,53,0,0,0,0,58,51889,1,33,36,2,2,0,0,9,32,0,1,1,1
53421,37,12,37,0,0,0,0,58,51923,7,11,24,1,0,3,2,14,26,13.451,0,0,0
53434,41,14,41,0,0,0,0,62,51929,4,-1,0,1,0,1,0,9,27,0,1,1,1
53435,27,0,27,1,0,0,0,62,51929,4,-6,0,1,0,0,0,9,27,0,1,1,1
53437,45,16,45,1,0,0,0,43,51888,6,7,12,4,0,3,2,9,46,8.415,0,0,0
53453,46,20,46,1,0,0,0,72,51891,6,17,24,0,0,2,1,11,15,8.766,0,0,0
53457,31,0,31,1,0,0,0,56,51871,5,31,36,2,0,0,0,9,34,0,1,1,1
53459,53,24,53,1,0,0,1,59,51946,1,30,36,1,1,0,17,10,29,23.955,0,0,0
53469,32,2,32,1,0,0,0,35,51862,5,41,48,5,1,3,2,14,49,10.122,0,0,0
53469,32,2,32,1,0,0,0,35,51862,5,41,48,5,1,3,2,14,49,10.122,0,0,0
53476,42,15,42,1,0,0,0,53,51941,4,29,36,2,3,4,1,11,34,8.166,0,0,0
53476,42,15,42,1,0,0,0,53,51941,4,29,36,2,3,4,1,11,34,8.166,0,0,0
53479,48,19,48,0,0,0,0,43,51869,6,18,24,4,0,0,0,6,49,0,1,1,1
53482,40,11,40,0,0,0,0,41,51851,4,5,12,5,1,0,0,11,46,0,1,1,1
53482,40,11,40,0,0,0,0,41,51851,4,5,12,5,1,0,0,11,46,0,1,1,1
53487,37,10,37,1,0,0,0,61,51912,4,41,48,1,5,2,2,11,27,8.356,0,0,0
53494,46,15,46,0,0,0,0,53,51915,5,-6,0,3,1,0,0,10,35,0,1,1,1
53505,39,12,39,1,0,0,0,45,51927,4,37,48,4,1,3,1,15,39,12.833,0,0,0
53516,32,0,32,0,0,0,0,47,51948,3,21,24,3,0,1,1,11,40,8.802,0,0,0
53523,41,12,41,0,0,0,0,77,51921,4,6,12,1,1,4,2,4,18,10.185,0,0,0
53524,41,14,41,0,0,0,0,77,51921,4,30,36,1,0,2,1,4,18,9.939,0,0,0
53528,44,16,44,0,0,0,0,57,51879,6,39,48,2,3,0,0,4,37,0,1,1,1
53528,44,16,44,0,0,0,0,57,51879,6,39,48,2,3,0,0,4,37,0,1,1,1
53529,37,10,37,1,0,0,0,59,51861,2,7,12,2,1,0,0,10,29,0,1,1,1
53536,52,18,52,0,0,0,0,54,51866,3,19,24,2,0,6,3,9,36,12.04,0,0,0
53540,44,18,44,1,0,0,0,63,51919,6,14,24,1,0,2,1,11,25,7.872,0,0,0
53544,49,20,49,1,0,0,0,58,51923,6,29,36,2,1,0,0,13,27,0,1,1,1
53549,29,1,29,0,0,0,0,48,51919,4,-2,0,3,4,0,0,9,41,0,1,1,1
53552,20,0,20,1,0,0,0,58,51855,5,35,48,1,1,0,0,10,30,0,1,1,1
53556,29,0,29,1,0,0,0,59,51882,5,7,12,1,0,4,2,9,31,10.333,0,0,0
53558,33,6,33,0,0,0,0,45,51872,3,28,36,4,0,2,1,13,41,8.419,0,0,0
53564,41,10,41,1,0,0,0,30,51955,4,11,12,6,0,0,0,12,57,0,1,1,1
53570,50,20,50,1,0,0,0,49,52005,1,22,24,3,0,1,23,17,33,30.145,0,0,0
53570,50,20,50,1,0,0,0,49,52005,1,22,24,3,0,1,23,17,33,30.145,0,0,0
53573,34,7,34,1,0,0,0,60,51984,6,-2,0,1,2,2,0,7,31,0,1,1,1
53589,34,1,34,0,0,0,0,48,51999,6,23,36,3,0,2,1,12,38,8.116,0,0,0
53590,28,0,28,0,0,0,0,60,52018,4,13,24,1,1,0,0,11,28,0,1,1,1
53598,40,14,40,1,0,0,0,51,51991,2,29,36,3,1,3,2,13,34,9.765,0,0,0
53600,44,14,44,1,0,0,0,47,52013,3,16,24,3,0,0,0,12,40,0,1,1,1
53600,44,14,44,1,0,0,0,47,52013,3,16,24,3,0,0,0,12,40,0,1,1,1
53601,16,0,16,0,0,0,0,52,51974,3,-1,0,3,0,0,0,11,36,0,1,1,1
53612,59,27,59,0,0,1,0,41,52030,2,24,36,4,1,0,0,10,47,0,1,1,1
53614,37,6,37,1,0,0,0,68,51976,3,39,48,0,0,1,1,7,24,8.546,0,0,0
53621,27,0,27,1,0,0,0,50,51984,6,40,48,3,1,0,0,7,42,0,1,1,1
53633,29,1,29,1,0,0,0,23,52032,4,-2,0,8,0,1,0,12,63,0,1,1,1
53636,30,1,30,0,0,0,0,67,52032,4,12,24,0,0,2,1,8,23,10.222,0,0,0
53640,40,16,40,1,0,0,0,71,52028,7,23,36,0,0,2,2,9,18,8.874,0,0,0
53643,28,0,28,1,0,0,0,64,51984,7,9,12,1,3,0,0,14,21,0,1,1,1
53649,40,12,40,1,0,0,0,55,51985,2,-2,0,2,0,1,0,6,38,0,1,1,1
53652,42,15,42,0,0,0,0,72,52137,7,5,12,0,3,0,0,8,18,0,1,1,1
53665,14,0,14,0,0,0,0,56,52202,7,-4,0,2,2,0,0,13,29,0,1,1,1
53666,35,8,35,0,0,0,0,61,52170,3,-4,0,1,0,0,0,15,22,0,1,1,1
53679,56,28,56,1,0,0,0,45,52190,3,9,12,4,0,0,0,7,47,0,1,1,1
53689,52,25,52,1,0,0,0,39,52170,3,16,24,5,2,0,0,17,43,0,1,1,1
53692,55,21,55,0,0,0,0,63,52185,3,-3,0,1,0,0,0,9,27,0,1,1,1
53692,55,21,55,0,0,0,0,63,52185,3,-3,0,1,0,0,0,9,27,0,1,1,1
53695,46,12,46,1,0,0,0,52,52192,2,11,12,3,0,4,10,10,36,17.719,0,0,0
53697,50,21,50,1,0,0,1,63,52181,4,5,12,1,3,6,3,12,24,11.528,0,0,0
53704,33,6,33,1,0,0,0,48,52215,6,11,24,3,1,0,0,12,38,0,1,1,1
53706,40,12,40,1,0,0,0,55,52196,3,-2,0,2,0,5,0,10,34,0,1,1,1
53714,38,6,38,1,0,0,0,43,52232,3,14,24,4,1,3,1,16,39,8.059,0,0,0
53714,38,6,38,1,0,0,0,43,52232,3,14,24,4,1,3,1,16,39,8.059,0,0,0
53726,58,29,58,0,0,0,0,43,52181,6,5,12,4,0,0,0,16,39,0,1,1,1
53745,46,13,46,1,0,0,0,63,52228,6,29,36,1,5,1,1,5,31,8.302,0,0,0
53748,38,13,38,0,0,0,0,59,52246,3,-5,0,2,2,1,0,13,27,0,1,1,1
53770,29,2,29,1,0,0,0,44,52184,3,16,24,4,0,0,0,19,35,0,1,1,1
53782,38,7,38,1,0,0,0,53,52243,4,34,36,2,1,3,2,8,37,8.731,0,0,0
53796,60,34,60,1,0,0,0,60,52247,1,17,24,1,1,3,2,13,25,11.318,0,0,0
53797,48,17,48,0,0,0,0,67,52234,4,12,24,0,0,6,13,11,21,20.737,0,0,0
53797,48,17,48,0,0,0,0,67,52234,4,12,24,0,0,6,13,11,21,20.737,0,0,0
53798,36,10,36,1,0,0,0,55,52224,7,-1,0,2,2,0,0,8,35,0,1,1,1
53803,53,26,53,1,0,0,0,37,52245,1,5,12,5,3,2,23,16,45,29.777,0,0,0
53815,42,16,42,1,0,0,0,60,52245,7,8,12,1,0,0,0,15,23,0,1,1,1
53815,42,16,42,1,0,0,0,60,52245,7,8,12,1,0,0,0,15,23,0,1,1,1
53821,41,7,41,0,0,1,0,48,52282,3,40,48,3,2,1,15,9,41,21.961,0,0,0
53823,35,4,35,0,0,0,0,46,52292,5,27,36,3,0,3,18,8,44,24.836,0,0,0
53842,45,15,45,0,0,0,0,51,52280,5,29,36,3,3,0,0,8,40,0,1,1,1
53861,31,1,31,0,0,0,0,28,52327,2,35,48,7,1,1,1,17,54,9.846,0,0,1
53864,27,0,27,0,0,0,0,58,52301,7,-4,0,2,1,0,0,12,29,0,1,1,1
53864,27,0,27,0,0,0,0,58,52301,7,-4,0,2,1,0,0,12,29,0,1,1,1
53881,45,15,45,1,0,0,0,58,52316,6,21,24,2,0,0,15,8,33,22.791,0,0,0
53884,32,3,32,1,0,0,0,54,52326,7,6,12,2,0,0,0,15,30,0,1,1,1
53886,65,37,65,0,0,0,0,50,52311,1,-6,0,3,4,0,0,18,30,0,1,1,1
53890,38,5,38,0,0,0,0,56,52255,3,35,48,2,1,0,0,10,32,0,1,1,1
53894,37,12,37,0,0,0,0,58,52259,3,15,24,2,1,0,0,9,32,0,1,1,1
53894,37,12,37,0,0,0,0,58,52259,3,15,24,2,1,0,0,9,32,0,1,1,1
53905,63,33,63,1,0,0,0,55,52292,3,35,36,2,0,4,2,10,33,10.278,0,0,0
53921,36,7,36,1,0,0,0,62,52378,4,20,24,1,2,0,0,17,20,0,1,1,1
53926,43,12,43,1,0,0,0,48,52382,6,14,24,3,0,0,0,16,34,0,1,1,1
53944,49,19,49,0,0,0,0,64,52435,3,-6,0,1,0,0,0,12,23,0,1,1,1
53947,67,40,67,1,0,0,0,49,52378,5,15,24,3,1,4,2,10,39,9.246,0,0,0
53956,25,0,25,0,0,0,0,56,52393,3,27,36,2,1,4,1,8,34,11.926,0,0,0
53960,21,0,21,0,0,0,0,59,52372,7,12,24,1,1,5,3,8,31,10.786,0,0,0
53980,32,6,32,1,0,0,0,47,52402,7,41,48,4,0,1,3,10,42,10.165,0,0,0
53981,23,0,23,1,0,0,0,36,52375,2,22,24,5,0,1,1,20,42,7.65,0,0,1
53984,35,6,35,1,0,0,0,60,52365,4,35,36,1,2,0,0,10,29,0,1,1,1
53987,15,0,15,1,0,0,0,43,52418,2,11,24,4,1,0,0,14,41,0,1,1,1
53992,21,0,21,1,0,0,0,56,52361,4,12,24,2,0,4,2,13,30,11.048,0,0,0
53998,44,16,44,1,0,0,0,47,52358,5,12,24,3,1,4,2,14,37,8.791,0,0,0
54005,20,0,20,0,0,0,0,52,52409,4,32,36,3,7,0,0,10,37,0,1,1,1
54005,20,0,20,0,0,0,0,52,52409,4,32,36,3,7,0,0,10,37,0,1,1,1
54007,41,12,41,0,0,0,0,52,52415,7,16,24,2,0,3,2,7,39,9.823,0,0,0
54008,41,11,41,1,0,0,0,60,52442,4,21,24,1,1,0,0,10,29,0,1,1,1
54011,47,19,47,1,0,0,0,60,52437,5,-6,0,1,1,0,0,7,32,0,1,1,1
54013,35,4,35,0,0,0,0,52,52446,3,-3,0,3,1,1,0,15,31,0,1,1,1
54022,32,4,32,0,0,0,0,49,52411,3,37,48,3,1,1,1,14,35,9.684,0,0,0
54024,34,7,34,0,0,0,0,42,52360,6,22,24,5,1,2,1,12,45,8.012,0,0,0
54025,30,4,30,0,0,0,0,42,52360,6,29,36,5,0,5,1,12,45,10.726,0,0,0
54027,20,0,20,1,0,0,0,66,52377,5,19,24,0,0,4,3,8,25,11.07,0,0,0
54031,19,0,19,1,0,0,0,44,52439,7,26,36,4,1,3,1,10,45,7.512,0,0,0
54031,19,0,19,1,0,0,0,44,52439,7,26,36,4,1,3,1,10,45,7.512,0,0,0
54032,50,25,50,0,0,0,0,51,52449,3,35,36,3,1,1,15,14,34,21.784,0,0,0
54043,28,1,28,1,0,1,0,49,52396,6,19,24,3,1,3,1,9,41,7.486,0,0,0
54049,58,27,58,1,0,0,0,46,52467,5,-6,0,3,0,0,0,9,43,0,1,1,1
54059,48,23,48,1,0,0,0,53,52495,1,29,36,2,2,3,4,17,28,10.867,0,0,0
54068,30,0,30,0,0,0,0,53,52541,3,41,48,3,1,5,2,6,39,8.736,0,0,0
54069,37,10,37,0,0,0,0,53,52541,3,21,24,3,1,2,1,6,39,8.282,0,0,0
54081,32,0,32,1,0,0,0,56,52532,3,5,12,2,0,2,1,7,36,11.871,0,0,0
54081,32,0,32,1,0,0,0,56,52532,3,5,12,2,0,2,1,7,36,11.871,0,0,0
54091,43,17,43,0,0,0,0,53,52547,4,40,48,3,2,2,1,16,29,10.216,0,0,0
54091,43,17,43,0,0,0,0,53,52547,4,40,48,3,2,2,1,16,29,10.216,0,0,0
54095,39,7,39,0,0,0,0,59,52526,6,28,36,1,3,0,0,17,23,0,1,1,1
54107,63,34,63,0,0,0,0,50,52510,4,13,24,3,1,0,0,12,37,0,1,1,1
54112,45,21,45,0,0,0,0,56,52494,5,0,12,2,1,0,0,14,28,0,1,1,1
54116,30,1,30,0,0,0,0,38,52532,5,20,24,5,0,0,0,10,50,0,1,1,1
54121,32,2,32,0,0,1,0,50,52519,7,40,48,3,7,4,11,5,43,17.992,0,0,0
54122,31,3,31,1,0,0,0,56,52501,5,40,48,2,0,1,1,16,26,11.289,0,0,0
54125,38,9,38,0,0,0,0,59,52547,7,18,24,1,0,3,2,17,23,8.261,0,0,0
54130,53,24,53,0,0,0,0,45,52493,6,26,36,4,1,2,1,12,42,7.836,0,0,0
54151,33,2,33,1,0,0,0,39,52454,2,41,48,5,0,2,2,16,44,9.179,0,0,0
54155,79,48,79,0,0,0,0,55,52529,5,25,36,2,1,0,0,10,33,0,1,1,1
54158,37,8,37,0,0,0,0,68,52493,7,41,48,0,3,4,2,10,21,12.095,0,0,0
54161,45,17,45,1,0,0,0,63,52463,5,21,24,1,0,3,2,8,27,10.155,0,0,0
54173,33,4,33,0,0,0,0,45,52527,4,17,24,4,0,0,0,16,38,0,1,1,1
54182,25,0,25,1,0,0,0,53,52471,2,28,36,2,1,0,0,7,38,0,1,1,1
54186,33,2,33,1,0,0,0,38,52508,4,36,48,5,0,3,1,20,40,7.846,0,0,0
54234,44,13,44,1,0,0,0,57,52490,4,25,36,2,0,1,24,5,37,31.305,0,0,0
54255,25,0,25,0,0,0,0,49,52487,6,40,48,3,2,4,12,13,37,18.689,0,0,0
54257,39,13,39,1,0,0,0,49,52487,6,40,48,3,1,0,0,13,37,0,1,1,1
54257,39,13,39,1,0,0,0,49,52487,6,40,48,3,1,0,0,13,37,0,1,1,1
54260,38,7,38,0,0,0,0,72,52490,5,25,36,0,1,0,0,10,17,0,1,1,1
54268,29,0,29,1,0,0,0,50,52468,4,19,24,3,0,0,0,24,25,0,1,1,1
54269,50,22,50,0,0,0,0,45,52524,1,12,24,4,2,3,19,18,36,26.11,0,0,0
54287,15,0,15,1,0,1,0,61,52496,5,40,48,1,4,4,3,9,28,9.331,0,0,0
54290,43,13,43,1,0,0,0,50,52479,5,-6,0,3,1,0,0,9,40,0,1,1,1
54300,44,11,44,0,0,0,0,68,52498,6,7,12,0,7,4,2,8,22,12.861,0,0,0
54302,48,18,48,1,0,0,0,19,52463,6,40,48,8,0,3,2,14,65,8.705,0,0,0
54309,41,13,41,0,0,0,0,52,52511,7,41,48,3,0,0,0,11,36,0,1,1,1
54314,39,6,39,1,0,0,0,26,52512,2,23,36,7,4,2,1,18,54,10.179,0,0,0
54329,43,16,43,1,0,0,0,54,52528,7,-3,0,2,0,0,0,15,29,0,1,1,1
54330,49,21,49,0,0,0,1,54,52528,6,34,36,2,1,6,19,15,29,25.756,0,0,0
54333,53,23,53,1,0,0,0,65,52536,4,35,48,0,0,0,0,11,23,0,1,1,1
54337,38,10,38,0,0,0,0,56,52472,2,15,24,2,0,2,1,10,32,12.599,0,0,0
54338,45,16,45,0,0,0,0,56,52472,2,15,24,2,0,0,0,10,32,0,1,1,1
54360,45,13,45,1,0,0,0,61,52531,3,9,12,1,0,5,3,13,25,10.935,0,0,0
54361,17,0,17,0,0,0,0,56,52482,5,19,24,2,1,0,0,9,33,0,1,1,1
54373,37,6,37,1,0,0,0,61,52550,3,12,24,1,0,0,0,10,27,0,1,1,1
54378,53,25,53,0,0,0,0,63,52458,1,26,36,1,0,0,0,12,23,0,1,1,1
54379,40,9,40,1,0,0,0,51,52467,3,5,12,3,2,2,1,12,35,8.379,0,0,0
54382,38,9,38,1,0,0,0,58,52478,5,16,24,2,3,1,15,6,34,21.674,0,0,0
54384,50,19,50,1,0,0,0,59,52523,2,7,12,1,2,4,3,11,29,9.779,0,0,0
54386,44,13,44,1,0,0,0,42,52524,5,29,36,4,0,2,1,12,44,7.357,0,0,0
54410,23,0,23,0,0,0,0,58,52468,5,38,48,2,1,0,0,12,29,0,1,1,1
54418,47,17,47,0,0,0,0,33,52512,6,-3,0,6,0,0,0,20,46,0,1,1,1
54420,45,19,45,1,0,0,0,59,52507,2,-2,0,1,2,0,0,12,28,0,1,1,1
54422,32,2,32,0,0,0,0,62,52541,6,37,48,1,0,0,0,9,28,0,1,1,1
54422,32,2,32,0,0,0,0,62,52541,6,37,48,1,0,0,0,9,28,0,1,1,1
54427,38,6,38,0,0,0,0,51,52468,7,7,12,3,0,3,2,17,31,8.36,0,0,0
54445,49,22,49,0,0,0,0,60,52516,3,-2,0,1,1,0,0,12,26,0,1,1,1
54472,24,0,24,1,0,1,0,63,52535,5,8,12,1,3,2,1,10,25,8.362,0,0,0
54507,38,7,38,1,0,0,0,60,52597,3,11,24,1,0,0,0,16,23,0,1,1,1
54508,20,0,20,1,0,0,0,48,52615,5,20,24,3,1,3,2,6,44,8.289,0,0,0
54508,20,0,20,1,0,0,0,48,52615,5,20,24,3,1,3,2,6,44,8.289,0,0,0
54520,24,0,24,0,0,0,0,66,52562,7,18,24,0,2,4,15,10,23,22.125,0,0,0
54531,31,3,31,0,0,0,0,44,52567,3,21,24,4,1,3,3,16,38,9.39,0,0,0
54533,58,29,58,1,0,1,0,67,52582,1,28,36,0,0,2,1,12,20,10.096,0,0,0
54537,23,0,23,0,0,0,0,57,52644,5,22,24,2,0,4,2,13,29,10.739,0,0,0
54542,51,19,51,1,0,0,0,57,52566,3,8,12,2,2,2,1,14,28,7.566,0,0,0
54566,51,21,51,1,0,0,0,49,52629,1,14,24,3,0,3,2,5,44,10.516,0,0,0
54569,51,27,51,0,0,0,0,44,52555,3,-4,0,4,0,0,0,10,44,0,1,1,1
54571,36,7,36,1,0,0,0,44,52555,4,9,12,4,3,1,1,10,44,12.546,0,0,0
54577,55,24,55,1,0,0,0,65,52624,3,25,36,1,3,0,0,9,25,0,1,1,1
54584,35,7,35,0,0,0,0,52,52628,5,-2,0,3,2,0,0,10,37,0,1,1,1
54594,42,11,42,1,0,0,0,51,52627,6,10,12,3,0,2,1,11,36,11.366,0,0,0
54594,42,11,42,1,0,0,0,51,52627,6,10,12,3,0,2,1,11,36,11.366,0,0,0
54607,45,13,45,1,0,0,0,56,52634,2,29,36,2,0,0,0,8,35,0,1,1,1
54610,42,14,42,0,0,0,0,32,52623,2,31,36,6,1,0,0,12,55,0,1,1,1
54624,42,12,42,1,0,0,0,52,52601,5,41,48,3,2,3,2,9,38,12.404,0,0,0
54624,42,12,42,1,0,0,0,52,52601,5,41,48,3,2,3,2,9,38,12.404,0,0,0
54641,22,0,22,1,0,0,0,40,52595,4,7,12,5,0,2,1,16,42,12.356,0,0,0
54658,38,12,38,0,0,0,0,29,52574,2,14,24,7,0,4,2,11,59,11.892,0,0,0
54658,38,12,38,0,0,0,0,29,52574,2,14,24,7,0,4,2,11,59,11.892,0,0,0
54660,42,10,42,0,0,0,0,57,52604,7,-4,0,2,5,0,0,11,31,0,1,1,1
54665,35,5,35,1,0,0,0,54,52606,3,22,24,2,1,1,1,10,35,12.167,0,0,0
54668,48,21,48,0,0,0,0,47,52617,2,20,24,4,1,2,1,13,38,8.272,0,0,0
54681,28,0,28,1,0,0,0,69,52621,2,14,24,0,0,0,0,9,20,0,1,1,1
54682,42,15,42,1,0,0,0,69,52621,2,12,24,0,4,3,2,9,20,9.981,0,0,0
54687,34,6,34,1,0,0,0,64,52620,2,6,12,1,2,3,2,9,25,10.361,0,0,0
54689,31,1,31,1,0,0,0,62,52552,7,6,12,1,1,0,0,12,24,0,1,1,1
54689,31,1,31,1,0,0,0,62,52552,7,6,12,1,1,0,0,12,24,0,1,1,1
